Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Total_Pourcentage_Voix_Exp,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,prediction
Ain,438109,97541,340568,333024,5641,1903,centre,32.45,2022,-1.2750000000000004,0.005671262999999982,0.19521107299999985,0.910234027,-0.0011996030000000005,0.6142688279999999,-0.4577282259999995,-0.3544920359999999,1.1385323079999998,0.01717491999999954,-0.5793935270000006,-0.002352914999999983,0.22829828100000005,21.123912987091707
Ain,438109,97541,340568,333024,5641,1903,droite,11.25,2022,-1.2750000000000004,0.005671262999999982,0.19521107299999985,0.910234027,-0.0011996030000000005,0.6142688279999999,-0.4577282259999995,-0.3544920359999999,1.1385323079999998,0.01717491999999954,-0.5793935270000006,-0.002352914999999983,0.22829828100000005,26.936173992910724
Ain,438109,97541,340568,333024,5641,1903,extreme droite,34.32,2022,-1.2750000000000004,0.005671262999999982,0.19521107299999985,0.910234027,-0.0011996030000000005,0.6142688279999999,-0.4577282259999995,-0.3544920359999999,1.1385323079999998,0.01717491999999954,-0.5793935270000006,-0.002352914999999983,0.22829828100000005,28.605565046727484
Ain,438109,97541,340568,333024,5641,1903,extreme gauche,20.3,2022,-1.2750000000000004,0.005671262999999982,0.19521107299999985,0.910234027,-0.0011996030000000005,0.6142688279999999,-0.4577282259999995,-0.3544920359999999,1.1385323079999998,0.01717491999999954,-0.5793935270000006,-0.002352914999999983,0.22829828100000005,18.064702992772556
Ain,438109,97541,340568,333024,5641,1903,gauche,1.69,2022,-1.2750000000000004,0.005671262999999982,0.19521107299999985,0.910234027,-0.0011996030000000005,0.6142688279999999,-0.4577282259999995,-0.3544920359999999,1.1385323079999998,0.01717491999999954,-0.5793935270000006,-0.002352914999999983,0.22829828100000005,5.091033635681548
Aisne,373544,101089,272455,265860,3767,2828,centre,24.75,2022,-2.549999999999999,0.0032945189999999958,0.012973759999999945,1.137991538,-0.065012871,0.705827701,-1.455690650000001,-0.6870746499999998,1.5676267990000001,-0.49529083699999976,-0.25470963399999924,-0.08907247799999995,0.4296352619999999,19.477411948668657
Aisne,373544,101089,272455,265860,3767,2828,droite,8.72,2022,-2.549999999999999,0.0032945189999999958,0.012973759999999945,1.137991538,-0.065012871,0.705827701,-1.455690650000001,-0.6870746499999998,1.5676267990000001,-0.49529083699999976,-0.25470963399999924,-0.08907247799999995,0.4296352619999999,25.561605153555426
Aisne,373544,101089,272455,265860,3767,2828,extreme droite,46.12,2022,-2.549999999999999,0.0032945189999999958,0.012973759999999945,1.137991538,-0.065012871,0.705827701,-1.455690650000001,-0.6870746499999998,1.5676267990000001,-0.49529083699999976,-0.25470963399999924,-0.08907247799999995,0.4296352619999999,30.69740961818958
Aisne,373544,101089,272455,265860,3767,2828,extreme gauche,19.299999999999997,2022,-2.549999999999999,0.0032945189999999958,0.012973759999999945,1.137991538,-0.065012871,0.705827701,-1.455690650000001,-0.6870746499999998,1.5676267990000001,-0.49529083699999976,-0.25470963399999924,-0.08907247799999995,0.4296352619999999,20.564463835528176
Aisne,373544,101089,272455,265860,3767,2828,gauche,1.12,2022,-2.549999999999999,0.0032945189999999958,0.012973759999999945,1.137991538,-0.065012871,0.705827701,-1.455690650000001,-0.6870746499999998,1.5676267990000001,-0.49529083699999976,-0.25470963399999924,-0.08907247799999995,0.4296352619999999,5.555489054327165
Allier,249991,58497,191494,185955,3749,1790,centre,29.95,2022,-2.0500000000000007,-0.3936180720000001,-0.05314045899999997,0.6525987209999999,-0.017481654,0.546261454,-1.2291043680000007,0.26839024499999997,0.9536548460000001,-0.39020486799999965,-2.057346189,-0.11689109799999997,0.30105612599999976,20.183588428026535
Allier,249991,58497,191494,185955,3749,1790,droite,12.0,2022,-2.0500000000000007,-0.3936180720000001,-0.05314045899999997,0.6525987209999999,-0.017481654,0.546261454,-1.2291043680000007,0.26839024499999997,0.9536548460000001,-0.39020486799999965,-2.057346189,-0.11689109799999997,0.30105612599999976,26.94025775404893
Allier,249991,58497,191494,185955,3749,1790,extreme droite,33.71,2022,-2.0500000000000007,-0.3936180720000001,-0.05314045899999997,0.6525987209999999,-0.017481654,0.546261454,-1.2291043680000007,0.26839024499999997,0.9536548460000001,-0.39020486799999965,-2.057346189,-0.11689109799999997,0.30105612599999976,30.103180057931795
Allier,249991,58497,191494,185955,3749,1790,extreme gauche,22.59,2022,-2.0500000000000007,-0.3936180720000001,-0.05314045899999997,0.6525987209999999,-0.017481654,0.546261454,-1.2291043680000007,0.26839024499999997,0.9536548460000001,-0.39020486799999965,-2.057346189,-0.11689109799999997,0.30105612599999976,19.752502771468823
Allier,249991,58497,191494,185955,3749,1790,gauche,1.76,2022,-2.0500000000000007,-0.3936180720000001,-0.05314045899999997,0.6525987209999999,-0.017481654,0.546261454,-1.2291043680000007,0.26839024499999997,0.9536548460000001,-0.39020486799999965,-2.057346189,-0.11689109799999997,0.30105612599999976,5.406846572646666
Alpes-de-Haute-Provence,128075,29290,98785,96683,1478,624,centre,25.6,2022,-2.424999999999999,-0.17814257700000002,0.24592236099999998,1.116084656,-5.66373000000002E-4,0.6601485089999999,-0.5116668440000005,-0.6095864879999997,1.856246623,-1.7556967699999992,-1.6080229310000003,-0.09411616300000003,0.7401619659999998,19.242151564199837
Alpes-de-Haute-Provence,128075,29290,98785,96683,1478,624,droite,11.02,2022,-2.424999999999999,-0.17814257700000002,0.24592236099999998,1.116084656,-5.66373000000002E-4,0.6601485089999999,-0.5116668440000005,-0.6095864879999997,1.856246623,-1.7556967699999992,-1.6080229310000003,-0.09411616300000003,0.7401619659999998,22.906961459192914
Alpes-de-Haute-Provence,128075,29290,98785,96683,1478,624,extreme droite,35.099999999999994,2022,-2.424999999999999,-0.17814257700000002,0.24592236099999998,1.116084656,-5.66373000000002E-4,0.6601485089999999,-0.5116668440000005,-0.6095864879999997,1.856246623,-1.7556967699999992,-1.6080229310000003,-0.09411616300000003,0.7401619659999998,29.521832511347075
Alpes-de-Haute-Provence,128075,29290,98785,96683,1478,624,extreme gauche,26.83,2022,-2.424999999999999,-0.17814257700000002,0.24592236099999998,1.116084656,-5.66373000000002E-4,0.6601485089999999,-0.5116668440000005,-0.6095864879999997,1.856246623,-1.7556967699999992,-1.6080229310000003,-0.09411616300000003,0.7401619659999998,21.44825562280381
Alpes-de-Haute-Provence,128075,29290,98785,96683,1478,624,gauche,1.44,2022,-2.424999999999999,-0.17814257700000002,0.24592236099999998,1.116084656,-5.66373000000002E-4,0.6601485089999999,-0.5116668440000005,-0.6095864879999997,1.856246623,-1.7556967699999992,-1.6080229310000003,-0.09411616300000003,0.7401619659999998,5.147312468078532
Hautes-Alpes,113519,25357,88162,86235,1395,532,centre,29.59,2022,-1.7750000000000012,-0.39920435200000004,-0.07457605500000009,1.421669938,-0.021165466999999997,0.9479631260000001,-0.154397405000001,-0.748863109,2.3884716510000006,-2.712232202,-0.875286832,-0.26126862,0.966801713,19.31568475277664
Hautes-Alpes,113519,25357,88162,86235,1395,532,droite,12.200000000000001,2022,-1.7750000000000012,-0.39920435200000004,-0.07457605500000009,1.421669938,-0.021165466999999997,0.9479631260000001,-0.154397405000001,-0.748863109,2.3884716510000006,-2.712232202,-0.875286832,-0.26126862,0.966801713,23.805722253971265
Hautes-Alpes,113519,25357,88162,86235,1395,532,extreme droite,29.990000000000002,2022,-1.7750000000000012,-0.39920435200000004,-0.07457605500000009,1.421669938,-0.021165466999999997,0.9479631260000001,-0.154397405000001,-0.748863109,2.3884716510000006,-2.712232202,-0.875286832,-0.26126862,0.966801713,30.562214371104844
Hautes-Alpes,113519,25357,88162,86235,1395,532,extreme gauche,26.53,2022,-1.7750000000000012,-0.39920435200000004,-0.07457605500000009,1.421669938,-0.021165466999999997,0.9479631260000001,-0.154397405000001,-0.748863109,2.3884716510000006,-2.712232202,-0.875286832,-0.26126862,0.966801713,21.175983944127434
