Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,proba_extreme droite,proba_centre,proba_droite,proba_extreme gauche,prediction
Val-d'Oise,733529,192853,540676,529585,8027,3064,extreme gauche,2022,-1.4999999999999982,-1.0901725709999996,0.17201521700000022,1.4687568400000002,-0.140990146,0.539385285,-1.6514211779999997,-1.4356245339999996,1.9703504209999996,-0.1414476820000008,-1.5496916729999999,-1.412718248,0.5015935810000001,0.04241129204786239,5.6146574960531484E-5,0.0011233170022713888,0.9564092443749056,extreme gauche
Val-d'Oise,730497,167560,562937,549159,10090,3688,extreme gauche,2017,0.07499999999999929,0.3768345100000001,0.10703722599999965,-0.07852832900000006,0.05306116900000002,0.06852135399999992,-0.2897946700000009,0.41105081899999973,-0.06627192400000004,0.40847468499999984,-0.9512060790000003,-0.2195885099999999,0.012256405000000026,0.002410455909648072,9.878496871109373E-5,0.06225592733427742,0.9352348317873633,extreme gauche
Val-de-Marne,796086,195409,600677,589058,8501,3118,extreme gauche,2022,-1.25,-0.7273944700000001,0.07571651200000007,1.203497785,-0.06666846799999998,0.5606353220000001,-1.8661541040000014,-0.42795898899999996,1.9507743989999997,0.1459347900000001,-0.482299802,-0.9381145940000002,0.747276614,0.0015785717152261105,0.08445517912788564,1.0459425461051121E-5,0.9139557897314273,extreme gauche
Val-de-Marne,785540,164068,621472,607787,9925,3760,centre,2017,0.15000000000000036,-0.055986724000000265,-0.3187125530000001,-0.032137528000000026,-2.70980000000004E-4,0.05465542999999995,-0.4620257299999988,-0.42861337700000046,-0.0027208649999996837,0.6961481799999998,-0.5842352949999992,-0.09203640899999987,0.0294166629999999,0.0015186874992293203,4.990042289509199E-5,0.4018107516473981,0.5966206604304775,extreme gauche
Seine-Saint-Denis,793929,239927,554002,543151,7607,3244,extreme gauche,2022,-1.799999999999999,-0.5600303100000001,0.09634964000000013,1.5949414009999998,-0.11555830699999997,0.705618598,-1.5082845200000001,-1.6148798809999994,2.3038896720000004,-0.5008538399999996,-2.3876943279999985,-3.468628665,0.7089482719999998,1.287231837425168E-6,1.6949075885965956E-8,9.17370979589225E-8,0.9999986040819887,extreme gauche
Seine-Saint-Denis,766302,210699,555603,540877,10304,4422,extreme gauche,2017,-0.07499999999999929,-0.24693594100000027,0.1189340630000002,-0.014087122999999924,-0.042803391999999996,0.07488860200000003,0.12103125999999875,-0.07908451100000136,0.23789498400000042,0.23042681999999992,-0.11403164000000032,-0.4870396210000001,0.25198210700000034,0.007127337642763272,9.862874827140557E-6,0.0839186008596607,0.9089441986227489,extreme gauche
Hauts-de-Seine,997667,208790,788877,774742,11841,2294,centre,2022,-1.1749999999999998,-0.22365542299999985,-0.07455401999999989,0.983669071,-0.06495240299999999,0.513609341,-1.131962316000001,-0.23279338199999966,1.5386098540000002,1.0917009600000007,-0.08503108699999995,-0.6974604469999999,0.5549407829999999,7.723247723744471E-5,0.9974728506930588,3.8875436372555586E-4,0.0020611624659781606,centre
Hauts-de-Seine,986730,176715,810015,794758,12689,2568,droite,2017,-0.3250000000000002,-0.22149170000000007,-0.13656034500000014,0.05231645499999993,-0.029900168000000005,0.01925497900000006,-0.5142189329999987,-0.596008007,0.09442973799999965,-0.6918579200000003,-0.08404359699999997,-0.12777876,0.04211328300000017,4.23200321137852E-4,0.02558588954781012,0.9718942134713869,0.0020966966596651345,droite
Essonne,799500,192200,607300,594941,8954,3405,centre,2022,-0.8999999999999995,-0.6329208929999997,0.5818142909999997,1.4347779120000002,-0.024973443000000012,0.616764533,-1.977426703,-0.020264044000000148,1.9569953419999995,0.2889699650000006,-1.5404811759999992,-0.46779987200000006,0.5222174310000001,0.9469305325442782,0.009577762982965915,1.2000965968087406E-5,0.04347970350678779,extreme droite
Essonne,795227,157440,637787,623482,10240,4065,droite,2017,0.3249999999999993,-0.6863397120000005,-0.22115019899999977,0.08408911899999993,-0.032179613999999995,0.058425922999999935,-0.45365733999999946,-0.0780581119999999,0.18592033900000038,0.20220034099999928,-1.3218327619999997,-0.137755211,0.10183122,0.002347194139495902,0.0010582660672495223,0.9926005923091679,0.003993947484086682,droite
